"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0046653","GO:0046653","tetrahydrofolate metabolic process",18,-0.67591363043624,-1.67027288917792,0.0078003120124805,0.0394566441441441,0.0260787102892366,3248,"tags=61%, list=17%, signal=51%","10797/4524/471/6470/4548/6472/7298/25902/2618/573971/4522"
"GO:0097320","GO:0097320","plasma membrane tubulation",18,-0.673524975951567,-1.66437020479976,0.0078003120124805,0.0394566441441441,0.0260787102892366,1404,"tags=44%, list=8%, signal=41%","51100/50807/257364/85377/54874/57194/112574/11252"
"GO:0035357","GO:0035357","peroxisome proliferator activated receptor signaling pathway",18,-0.673431455808156,-1.66413910403023,0.0078003120124805,0.0394566441441441,0.0260787102892366,1518,"tags=50%, list=8%, signal=46%","8648/81/10370/5165/84498/10499/5469/55252/6256"
"GO:0097284","GO:0097284","hepatocyte apoptotic process",18,-0.670183976695241,-1.65611414924869,0.0078003120124805,0.0394566441441441,0.0260787102892366,3981,"tags=56%, list=21%, signal=44%","5925/598/839/2934/382/3480/6789/5465/5294/103"
"GO:0001776","GO:0001776","leukocyte homeostasis",96,-0.477729042708403,-1.5869349729714,0.0078125,0.0394566441441441,0.0260787102892366,2592,"tags=35%, list=14%, signal=31%","10758/8772/1880/578/10018/301/6655/3575/57678/6708/596/55690/4208/5142/6868/3579/5518/54542/3091/25/10019/729230/5291/4763/55619/4522/558/10461/54440/3071/30061/121260/139818/3988"
"GO:0039531","GO:0039531","regulation of cytoplasmic pattern recognition receptor signaling pathway",96,-0.467309733116466,-1.55232379109324,0.0078125,0.0394566441441441,0.0260787102892366,4020,"tags=39%, list=21%, signal=30%","79184/3304/63906/207/22933/80231/5610/695/55666/55601/5336/8887/4210/140609/26057/329/54209/57506/85364/51296/23369/9698/79671/55914/83737/10333/6714/29979/6397/1654/142/948/7099/121260/1452/5591/3312"
"GO:0006206","GO:0006206","pyrimidine nucleobase metabolic process",16,-0.715083648526083,-1.71594743283123,0.00784929356357928,0.0395665977737025,0.0261513836985622,3254,"tags=56%, list=17%, signal=47%","56474/4329/7298/7372/2475/790/6240/1806/5594"
"GO:0015693","GO:0015693","magnesium ion transport",16,-0.70574444619471,-1.69353665571692,0.00784929356357928,0.0395665977737025,0.0261513836985622,3956,"tags=62%, list=21%, signal=49%","54805/123606/84102/254428/26504/57185/3759/93380/84061/81614"
"GO:0061037","GO:0061037","negative regulation of cartilage development",15,-0.70465536897057,-1.669255541378,0.00788643533123028,0.0395665977737025,0.0261513836985622,866,"tags=27%, list=5%, signal=25%","5781/359845/7046/1499"
"GO:1904874","GO:1904874","positive regulation of telomerase RNA localization to Cajal body",15,-0.702878322941313,-1.66504590350075,0.00788643533123028,0.0395665977737025,0.0261513836985622,4674,"tags=73%, list=25%, signal=55%","55505/10694/8607/908/55164/10576/6950/7203/22948/10574/10575"
"GO:0045686","GO:0045686","negative regulation of glial cell differentiation",15,-0.698621685123144,-1.65496236965073,0.00788643533123028,0.0395665977737025,0.0261513836985622,4092,"tags=53%, list=22%, signal=42%","9572/1600/4851/9682/54209/3949/4763/1499"
"GO:1903830","GO:1903830","magnesium ion transmembrane transport",15,-0.69655079145709,-1.65005663717513,0.00788643533123028,0.0395665977737025,0.0261513836985622,3956,"tags=60%, list=21%, signal=47%","54805/123606/84102/254428/26504/57185/93380/84061/81614"
"GO:0030174","GO:0030174","regulation of DNA-templated DNA replication initiation",14,-0.706008996434011,-1.64836442879345,0.00789889415481832,0.0395665977737025,0.0261513836985622,2413,"tags=43%, list=13%, signal=37%","4172/4173/4683/11143/4175/4171"
"GO:0002220","GO:0002220","innate immune response activating cell surface receptor signaling pathway",79,-0.500814319112184,-1.62803742615601,0.0079155672823219,0.0395665977737025,0.0261513836985622,2921,"tags=34%, list=16%, signal=29%","2219/5336/64127/8887/3654/23643/54209/7187/8878/929/1147/5058/1387/5062/10333/388325/6714/9258/26060/7096/22954/5295/2033/118788/6850/9867/7099"
"GO:0003206","GO:0003206","cardiac chamber morphogenesis",81,-0.490761340736971,-1.59801279779524,0.0079155672823219,0.0395665977737025,0.0261513836985622,3144,"tags=26%, list=17%, signal=22%","4851/64783/1909/6722/7040/7157/6586/4208/57211/3091/10370/2022/54583/57493/659/5469/6091/7046/8829/7048/4853"
