"","C08_10_1","C08_10_2","C08_10_3","C08_100_1","C08_100_2","C08_100_3"
"MYBL2",1470.12312504487,1315.05283926616,1168.60412179053,1955.45921588154,2097.22252438041,2013.43920652514
"ATRX",4354.55278452252,5212.23732644764,5111.72431890133,8383.97360265428,6312.83827370279,8047.306940762
"TNFRSF9",175.178222844132,235.166816750029,174.555647122799,69.3425253858702,33.0792196274512,70.9487387243244
"SCARB2",2856.95072256092,3276.3440909614,3511.32464896493,2267.03829661538,1922.56424474746,2180.06124443833
"JUNB",3640.95914146628,3146.53200811539,2601.79785606193,4579.38037648287,5395.88230562984,4840.6389466005
"GLUL",4246.35447041291,4213.24868889352,4155.34311545484,5687.0116486465,5623.46733666671,5578.07583697756
"P2RY12",2302.2196835545,2816.35779739835,2727.66166477679,4402.78807850019,3671.79337864708,3794.68254086159
"ANKRD12",2938.52881653245,3224.6073912764,3844.8178063627,5685.16251463621,4582.13350279454,5241.6068184819
"RALGAPA2",5272.52102089692,5542.41153716468,5217.37642110723,3997.82773024671,3981.41487436003,3865.63127958592
"FAM20A",116.785481896088,133.574751914016,131.376092308212,26.8124431492032,43.6645699082356,35.4743693621622
"FEZ1",59.2514577266917,74.3127140930092,46.8544105434881,146.0815868129,219.646018326276,188.121655708436
"HELZ2",173.460789286837,137.337420982017,104.733388273679,276.445534538336,359.901909546669,371.943387857822
"ASPM",1495.8846284043,1584.0836776282,1961.45424530092,2933.65110732488,2454.47809635688,2581.02911631974
"CX3CR1",26815.1488468319,26339.6241432702,26175.0786430298,35175.1517107391,34849.6194619124,33200.7847803145
"PRKCB",4060.01292944636,4250.87537957352,3892.59093083841,5617.66912326063,5417.05300619141,5497.45227024538
"ANTXR2",731.626695407846,665.051757769082,728.540148254629,411.432317289497,452.523724503533,399.892890991647
"SLC7A1",2728.14320576376,2595.30098965332,2470.42176375372,3468.9754033038,3864.9760212714,3620.53563672007
"ZNF154",654.342185329552,689.509106711085,610.944764929796,386.469008150583,344.023884125493,400.967871881409
"ACSL5",440.521707446273,546.527682127067,524.585655300622,856.149046764211,816.395140405496,839.560074904505
"CAMSAP1",878.467264556604,981.115959481121,880.127947071796,1338.77302344987,1376.09553650197,1408.22496558886
"ATF4",9933.63569539667,9387.85932466116,9139.36619777686,12413.2366110759,13582.3275790315,12351.530423371
"PKDCC",577.916392029906,592.620378210073,439.145259603673,914.396768088342,1099.55326041648,853.534826471418
"TNKS1BP1",526.393385311044,534.299007656066,449.251112858151,763.692346249718,883.876748445496,877.184406046192
"ETV6",3405.6707441168,3313.97078164141,3504.89365143936,4518.3589541433,4654.90778597493,4597.69326551417
"DUSP6",2359.7537077239,2354.49016930129,2305.05325595317,3653.88880433279,3125.32467040159,3193.76822348436
"APOE",2702.38170240433,2498.41226115231,2070.78120323573,1369.28373461965,1741.29012118903,1442.62435406126
"CD300LF",2146.79194661927,1952.82524629224,2065.26891964238,1399.79444578943,1495.18072716079,1399.62511847076
"TUBA1B",5645.20410283002,4787.99638903059,4707.49018872222,6863.98544619601,8408.7376292981,7067.99935018838
"EMP1",1394.55604852388,1315.99350653316,1278.84979365756,932.888108191241,881.2304108753,791.185934865193
"ESF1",562.459490014248,589.798376409073,630.237757506526,1142.76481835914,828.303659471378,1043.80644395938
"ILF3",10804.3745089454,10422.5933183613,10196.8059337681,13163.0604522485,14074.5463670879,14267.1463689278
"IQGAP2",3057.89044876448,3242.4800693494,3547.15449232172,2400.17594535625,2099.8688619506,2342.38335879247
"HMGB2",3657.27476026058,3754.20306259746,3985.38103799317,5144.29081662643,5016.1328643067,5201.83252556069
"RASA3",3370.46335619225,3184.15869879539,2932.53487166302,4180.8919972654,4545.0847768118,4500.94498543555
"ABCA1",466.283210805705,529.595671321065,571.44006584411,293.087740630945,268.603263374904,302.06963002326
"H2AC6",697.278024261938,662.229755968082,673.417312321113,354.109162970511,424.737180016474,423.542470566421
