"","WT_10_1","WT_10_2","WT_10_3","C08_10_1","C08_10_2","C08_10_3"
"C2CD3",1103.84260187284,993.276806849297,1025.90967918336,1172.04503382964,1473.53297611739,1348.00982974545
"NUDCD2",1228.96035441563,1156.3521034962,1214.58272363087,870.050948470612,1011.11938144783,979.119461088086
"PEAK1",1845.19451880862,1712.86080813736,1825.8047738723,2062.62815807537,2161.05663715752,2267.48283818994
"RPS11",44877.5161199976,45413.6191494369,42798.3182542843,41792.3882829281,36792.3644310507,34326.0746775277
"RSF1",3350.11552369246,3052.81516869755,3382.35739056429,2371.46630202609,2549.37150164676,3003.42830003871
"MFHAS1",224.51035970295,253.165845144138,206.361142364469,349.046988177001,346.106727044759,312.914466945677
"PLPP1",233.864958023907,256.587005213653,233.875961346398,388.40032507931,364.865899242307,310.161553746741
"TMEM121B",3130.28246314999,3432.56393641376,3157.32547817637,2936.95664316579,2541.86783276774,2575.80911647072
"ITGA10",76.0061113577696,39.913534144346,54.0469658573608,125.759576622596,98.4856540371265,127.551644884015
"PIGC",944.814430416583,979.592166571236,924.694452214119,728.036732692715,723.166088215472,791.921363560467
"HORMAD1",49.1116411850204,54.738561112246,27.5148189819292,92.3947909880296,117.244826234674,84.4226714340243
"HELLS",1218.43643130455,1271.53115916988,1393.42904701341,939.347041711635,970.787161223104,1135.11787569444
"RER1",2204.17722937532,2169.01548407275,1975.17093405991,2716.23575358328,2487.46623339485,2453.76329798458
"ARHGDIB",20893.4953498558,22508.9524840315,20288.2483107468,18748.4430046543,18238.6051690659,18583.9993682811
"ABCB10",1072.27083253961,981.872939950913,1194.92928150092,1290.96055186053,1360.03998432222,1470.97328596458
"DDB2",1586.77374019221,1590.83943232465,1584.06743567392,1951.41220596014,1977.21674962155,1812.33452263259
"EML1",208.139812641277,269.131258801876,315.437746185688,138.592186482044,174.460301437195,175.268806998898
"PRDM1",1189.20331155157,1287.49657282762,1219.49608416336,1569.00043214858,1631.11002257679,1393.89171639438
"REEP1",237.372932394265,264.569712042522,334.10851620914,417.48757409406,391.128740318874,417.525168505229
"GNL2",2268.49009283189,2613.76629310975,2422.28674251626,1977.932933003,1946.26411549559,2114.23733678252
"B3GALT6",1184.52601239109,1142.66746321814,1033.77105603534,979.555885937907,841.348873060023,655.193341346667
"SPTBN5",49.1116411850204,44.4750809036999,44.2202447923861,79.5621811285811,126.624412333448,89.0108600989169
"RHBDD2",1094.48800355188,1002.399900368,1049.4938097393,911.970807344811,798.202777005663,713.004518524314
"PAXIP1-DT",231.526308443668,226.936951277853,178.84632338254,101.805371551625,145.383584530996,132.139833548908
"RUNX3",23240.3302036257,22597.9026458389,21080.2820285837,20260.9799534213,19464.5170721757,17000.1566411602
"ST7L",328.580266023589,340.975620261699,240.75466609188,398.666412966869,408.011995296667,597.38216416902
"TENM4",695.748250121122,732.12825487629,879.491535315236,1083.07227213746,892.93659660328,1089.23598904551
"ERO1B",332.088240393947,425.364235309745,405.843579983455,522.714974941538,519.629069872077,569.853032179664
"MSN",51127.5571231865,51905.8405746873,49267.2487313572,45694.3571875244,44572.7310999837,44835.7796333307
"INTS8",976.38619974981,1083.36735534654,1129.09025036559,1291.81605918449,1269.99595777399,1462.71454636777
"CYBB",67730.7998180937,69318.4049418307,75879.9747195216,75470.2895980649,84562.5964321064,92641.03497058
"C8orf33",1822.97734779635,1926.11311913716,1853.31959285423,1550.17927102139,1619.85451925826,1454.45580677096
"NT5C3A",938.967806465985,922.572832079313,1054.40717027179,652.75208818395,797.264818395786,785.497899429617
"RASSF2",6372.82010615145,6686.08716252288,6690.03170103478,7383.02820580274,7620.91370525383,7642.08704024515
"UNG",1220.77508088479,1368.46402780615,1029.84036760935,892.294138893657,989.546333420652,895.61442738704
"ARHGEF11",1621.85348389579,1426.62374898791,1566.37933775697,1782.87726313939,1911.55964693013,1938.96852978362
"RPL7P1",2487.15382858425,2661.66253408296,2629.63055698723,2247.41774005142,2177.93989213531,2135.34300464103
"TMEM53",157.858846666137,94.652095256592,108.093931714722,254.085675217081,226.98598359033,162.421878737199
"SFT2D2",5831.42272832611,5330.16738830495,6107.30714188178,4559.85403672405,5085.61158275524,4942.39682982234
"DCTPP1",1666.28782592033,1886.19958499281,1783.54987329291,1583.54405665595,1405.06199759634,1237.89330178803
"BRK1",7646.21480259163,7683.92551613153,7659.92907014778,6998.90541734324,6408.13322268236,6555.60396439858
"RDX",2109.46192137564,2034.44985467181,2361.36107191342,2543.4232741427,2535.3021224986,2841.00642130151
"BBS7",299.3471462706,272.552418871392,274.165517712794,352.469017472854,383.625071439855,534.98279832648
"METTL15P1",10.5239231110758,9.12309351870767,9.8267210649747,29.9427563387133,52.5256821531341,29.3644074553128
"VRK1",1052.39231110758,1155.21171680636,1178.22385569047,727.181225368752,919.199437679847,947.002140433838
"YTHDF1",2522.23357228783,2527.09690468202,2432.11346358124,2167.00005159888,1971.58899796228,2137.17828010698
"HMGB1P1",687.562976590285,873.536204416259,781.224324665489,495.338740574714,570.278834805456,652.440428147731
"TRIM13",3351.28484848258,3180.53847795946,3459.98848697759,3580.29815078615,4091.3754562852,4463.38993320755
"COPB2",4101.99136373932,4025.56501512976,4065.31450458003,4467.45924573602,4841.74234418711,4901.1031318383
"EMG1",995.095396391723,932.836312287859,900.127649551682,707.504556917597,771.001977319219,746.957114644519
"EYA3",1753.9871851793,1741.37047538333,1539.84719088154,2007.87568934172,2207.95456765139,1951.81545804532
"IQGAP1",21453.6019243231,22149.7306767324,22683.0202342811,24004.6800030845,25292.053915344,26661.964331691
"N4BP2",2515.21762354712,2582.97585248411,2783.91007770733,1740.10189694122,2333.64102137496,2183.97780448889
"TPP2",3966.34968808546,4439.52538354112,4811.16263341161,4808.80666799736,5568.66026684209,5722.38890285408
"HLA-C",5546.10747953694,5504.64655185024,5245.50370448349,4929.43320067617,4654.15062221163,4102.75830414698
"VPS13D",3388.70324176641,3443.96780331214,3732.18866047739,3958.4323879779,4422.47484557192,4120.19342107358
"NR2C2AP",281.807274418807,326.150593293799,320.351106718175,213.876830990809,186.653763365602,223.90360684676
"QRICH2",10.5239231110758,15.9654136577384,18.6707700234519,53.8969614096839,45.9599718839924,40.3760602510551
