"","WT_V_1","WT_V_2","WT_V_3","WT_10_1","WT_10_2","WT_10_3"
"NFU1",679.864445546044,640.125069322664,614.279294916542,656.010484578191,736.215187217246,660.457201832548
"PLXNA1",1486.77916550939,1897.17462884921,1664.21766424198,1825.77645005849,1797.64196119983,1682.10193591727
"RN7SL113P",5.81909653819724,12.6548613375156,4.35659074408895,16.3746766821389,6.9830708814644,12.0395844084058
"Y_RNA",652.708661701123,476.666443713088,469.422652675584,516.82573278001,557.648088962657,654.437409628345
"PTPRVP",22.3065367297561,1.0545717781263,26.1395444645337,16.3746766821389,33.9177728528271,22.3592281870394
"CHMP5",1599.28169858121,1426.83561580488,1457.27960389775,1332.48931500906,1502.35782106934,1445.61009932359
"LIX1L",695.38203631457,720.272524460263,639.329691695053,784.961063450035,679.353038611036,715.495301985261
"TMCC1",720.598121313425,825.729702272893,825.573946004856,815.663582229046,700.30225125543,720.655123874577
"TIMELESS",2672.9050098786,2974.94698609429,3162.88488020858,2917.76270129863,2824.1533807751,2714.92628409551
"ACBD5",2253.9300591284,2215.65530584336,2132.55116923154,2221.83894230773,1974.21389634543,2145.6259356409
"ANKDD1B",25.2160849988547,10.545717781263,14.1589199182891,15.3512593895052,22.944375753383,30.0989610210146
"MLC1",20.3668378836903,10.545717781263,17.4263629763558,26.6088496084758,33.9177728528271,7.73973283397518
"TNFRSF10A-AS1",13.5778919224602,12.6548613375156,5.44573843011119,13.3044248042379,21.9467941988881,11.1796140935197
"SCAPER",584.819202088822,590.560195750728,552.197876813274,540.364330510585,557.648088962657,528.88174365497
"ZNF473",240.522656912152,331.135538331658,263.573740017381,327.493533642779,274.334927486101,311.309253988779
"PSMC3IP",134.809069801569,163.458625609577,179.709368193669,164.770184114023,199.516310898983,168.554181717682
"GATAD2B",2491.54316777145,2197.72758561521,2227.30701791547,2401.96038581125,2301.42064621977,2503.37358663353
"LRRC29",88.2562974959914,84.365742250104,159.015562159247,86.9904698738631,110.731552548935,85.9970314886131
"CLCN4",952.392133418281,1105.19122347636,1053.2058123835,969.176176124098,1002.56946226739,984.66601054462
"MAEA",1930.97020125845,1907.72034663048,1944.12861954969,1931.18843119976,1955.25984681003,1646.84315300694
"SGSH",1267.59319590396,1566.03909051756,1621.74090448711,1644.63158926233,1608.1014658458,1445.61009932359
"MAP1LC3B",2078.38731355945,2034.26896000563,2073.73719418634,2068.32634841267,1933.31305261114,1951.27264447663
"MTRR",1289.89973263372,1248.61298530154,1267.76790652988,974.293262587266,1273.91164509001,1340.69372090748
"BTBD10",848.618245153764,961.769461651186,850.624342783367,831.014841618551,925.75568257128,1063.78327951414
"STRADA",1187.09569379224,894.276867851102,785.275481622033,872.974950616532,897.823399045422,908.98862283464
"TRUB2",710.899627083096,837.329991832282,856.070081213478,894.466713761839,847.944321320677,803.212274103646
"SNHG10",48.4924711516436,66.4380220219569,68.6163042194009,95.1778082149325,77.8113612506033,47.2983673187372
"TASP1",117.351780186978,152.912907828313,135.054313066757,167.840435991924,177.569516700095,114.376051879855
"ADSS2",2034.74408952297,1755.86201058029,1561.83778175589,1698.87270577191,1971.22115168195,1972.77190234878
"RHPN1",30.0653321140191,21.091435562526,23.9612490924892,19.44492856004,15.9613048719186,21.4992578721533
"B3GNT2",1248.19620744331,1020.82548122626,1116.37637817279,1176.92988652874,1070.40500797304,1333.81395838839
"CRACR2B",5.81909653819724,45.3465864594309,29.4069875226004,15.3512593895052,13.9661417629288,27.5190500763562
"OXA1L-DT",17.4572896145917,11.6002895593893,7.62403380215566,12.2810075116042,5.98548932696948,6.01979220420291
