"","WT_V_1","WT_V_2","WT_V_3","WT_10_1","WT_10_2","WT_10_3","C08_V_1","C08_V_2","C08_V_3","C08_10_1","C08_10_2","C08_10_3","CTRL_Veh_0_vs_AD_Veh_0_pvalue","CTRL_Veh_10_vs_AD_Veh_10_pvalue","CTRL_Veh_0_vs_CTRL_Veh_10_pvalue","AD_Veh_0_vs_AD_Veh_10_pvalue","CTRL_Veh_0_vs_AD_Veh_10_pvalue"
"GOBP_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION",-0.516473280513305,-0.404132498687062,-0.47957041822603,0.218507027225042,0.51536440644244,0.473155284303744,-0.209235209235199,-0.177703197320418,-0.385675028657217,0.643847275654217,0.297933227046191,-0.217325291949806,0.0641749003615291,0.596125591135381,0.00602070054016391,0.17804998789536,0.102980702964192
"GOBP_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION",-0.285591443438168,-0.498849660500406,-0.620156602889609,-0.274171199859533,-0.177058709555563,0.215140478664367,-0.140691552979625,-0.327372500116621,-0.488235866298425,0.329631722409616,0.242765257146407,0.263127839186425,0.34648931714348,0.13564905531755,0.105727724416851,0.0213987725571503,0.0122186181919082
"GOBP_MRNA_5_SPLICE_SITE_RECOGNITION",-0.138750858332897,-0.274263461476981,-0.280110429899857,-0.167119573883604,0.0823067300632308,-0.0515906657621219,0.384697805743911,0.296701436334792,0.207016147572678,-0.36581409489763,-0.514368915668402,-0.425835600212857,0.00164853709399588,0.0155414434838234,0.107921336480974,0.000466583816244671,0.0321044278121255
"GOBP_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION",-0.177962607543856,-0.529163321540613,-0.440976479063048,-0.475750865431501,-0.306022602268457,0.163591978788605,0.187115394821886,0.0171665946174827,-0.00732533100613175,-0.0166063626280563,-0.208980528248948,0.0668821111296025,0.0311082196121636,0.519984621727954,0.475796858124899,0.314567649365088,0.0727367370671852
"GOBP_AUTOPHAGY_OF_MITOCHONDRION",-0.0511933613060267,0.00247287218921236,0.0115764001328366,0.0485738137113313,0.064032631249534,0.274907244770491,-0.397290183771697,-0.404382926895438,-0.490027364585418,0.440972965869679,0.352722431181425,0.275803384226957,0.000663796041416819,0.0693681031871979,0.185831402817676,0.000431879564328581,0.00834357629835636
"GOBP_MITOPHAGY",-0.240800264535719,0.127170776914585,0.00915897390984646,0.0738342063321664,-0.0853257385340967,0.298907962901676,-0.374609796622247,-0.472968903637863,-0.43762840879105,0.493960083689095,0.449521513048465,0.306620523135668,0.0598850330673154,0.0836438995912935,0.448279224972365,0.000959121440386129,0.034265221151827
"GOBP_PEXOPHAGY",-0.333007966341028,0.244797865468314,-0.302177869486579,0.0446880210844827,0.216997489693814,0.579927792287685,-0.563927894182327,-0.63692365706327,-0.707109824989592,0.546742971270605,0.30035072128658,0.542451604470824,0.108293312359333,0.379345692591298,0.171337435464794,0.00130138354393791,0.070110417911793
"GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",-0.315726779641481,-0.146278973698876,-0.463288195056032,0.0987787848513847,0.265409981744061,0.595903227213983,-0.1657382624965,-0.428691109884851,-0.442433432776297,0.503588918866769,0.187024913452738,-0.0073118091166921,0.786530359884043,0.681120378545474,0.0294353405005486,0.0401065693605894,0.0477620718107961
"GOBP_MATURATION_OF_5_8S_RRNA",-0.115126641185672,-0.353544838384822,-0.494935574842348,-0.149884749613581,-0.130504827990466,0.491610011118334,-0.255884152109079,-0.396623499043264,-0.510558722468454,0.389187308557534,0.247862199084771,0.193713323540977,0.647256798099474,0.4329774150101,0.197657671948728,0.00254965266661163,0.017080469780686
"GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",-0.367817607747721,-0.226611500924603,-0.287318557973292,0.00789803100358505,0.322131321963737,0.507497407458741,-0.314131171439533,-0.441799063666884,-0.546188177531835,0.470777864741942,0.226232650565791,-0.078741225402478,0.164010968052465,0.751898282336082,0.0501693597638747,0.0408442861514868,0.0797156647925051
"GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",-0.107186975543458,-0.462579777575091,-0.406488578219536,-0.261017024649119,0.137022638422361,0.54953017001119,-0.395567544666416,-0.351103240684796,-0.650150655706799,0.486861609753571,-0.0316428577926815,0.436747925150271,0.38799372886238,0.619084391240242,0.173539333896142,0.0250546024225341,0.0421935524022659
"GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",-0.167393489976174,-0.366645878981,-0.488955564420149,-0.130098035243767,0.0837872422944759,0.543555770194228,-0.308708118454502,-0.435666214954678,-0.520967120324939,0.439497845946217,0.19769573005505,0.0810252044060062,0.517082487159028,0.764638936584344,0.109086318560371,0.0102765534985452,0.0151356811093607
"GOBP_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING",-0.147853991359203,-0.287599552464242,-0.48237989820939,-0.0573691113802826,0.205993709388054,0.53905015797793,-0.397338433254666,-0.395097909130849,-0.52383931573617,0.458743032993824,0.224380310265472,0.140998836807832,0.306151063481189,0.831793327797663,0.0697888552205006,0.00819556982954342,0.012919015583968
"GOBP_MATURATION_OF_LSU_RRNA",-0.280442942015881,-0.524943301114445,-0.43485136314474,-0.130050814755023,-0.106666372823799,0.515322325022707,-0.24307367279238,-0.311488053841265,-0.534599470981396,0.374093604133602,0.0574569097940271,0.391524779642711,0.680692660022887,0.500745500957855,0.12764102212718,0.0113920942792077,0.00910464451038344
"GOBP_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING",-0.279634563122404,-0.246492372615104,-0.457567891463556,0.0960260967299763,0.277798573176764,0.552239296553575,-0.383755621770693,-0.343324603989575,-0.507892993850655,0.488532543145679,0.191117031942302,0.0739910826019206,0.369486203587658,0.766951699834284,0.0243454968178733,0.0211021064260787,0.0247700151016366
