"","C08_V_1","C08_V_2","C08_V_3","C08_100_1","C08_100_2","C08_100_3"
"ASS1P2",23.2898950989161,5.27453635587238,10.5532306294674,6.07039718737106,2.16938083550446,5.31488385121172
"C2orf69",773.859696241257,901.945716854177,912.268158858401,1055.49031095414,830.872859998208,1062.97677024234
"FPR2",27.5244214805372,10.5490727117448,17.5887177157789,38.6987820694905,18.4397371017879,46.9481406857035
"CRIM1",223.371266630513,188.828401540231,241.551723296698,147.96593144217,195.244275195401,179.820236965997
"NHLH1",15.8794739310791,31.6472181352343,36.3500166126098,2.27639894526415,26.0325700260535,9.74395372722149
"COL8A1",0,0,10.5532306294674,0,0,0
"GAS2L2",0,0,10.5532306294674,0,0,0
"RNU6-1169P",0,0,10.5532306294674,0,0,0
"AGBL5",259.364740874293,212.03636150607,219.272680856711,257.233080814849,340.5927911742,253.342796907759
"RN7SL145P",31.7589478621583,24.2628672370129,19.9338800778828,12.8995940231635,3.25407125325669,19.487907454443
"COX6A1P2",53.9902113656691,66.459158083992,35.1774354315579,27.3167873431698,33.6254029503191,37.204186958482
"MYO6",1636.64444649656,1713.16940838735,1782.32339519893,1656.45963250388,1294.03566837841,1637.87004014841
"AGGF1",673.289694677756,735.27036800861,702.376127450106,969.745950682527,681.1855823484,783.945368053729
"ARL4D",45.5211586024269,61.1846217281196,64.4919649578561,40.2163813663333,34.7100933680714,37.204186958482
"FCRL4",4491.77385930459,4419.00655894988,5017.47487372121,4313.01720162714,4306.22095847635,4305.05591948149
"HSD11B2",10.5863159540528,11.6039799829192,32.832273069454,6.07039718737106,11.9315945952745,5.31488385121172
"CCR5AS",211.726319081055,231.02469238721,236.86139857249,189.699912105346,189.82082310664,174.505353114785
"SMIM10",4.23452638162111,6.32944362704686,14.0709741726232,0,4.33876167100892,1.77162795040391
"COG7",406.514532635626,328.076161335262,322.459824789281,304.278659016974,312.390840312642,267.51582051099
"GON4L",2060.09708465867,1968.45696801157,1971.10896534829,1708.81680824495,1822.27990182375,1957.64888519632
"ID2-AS1",64.5765273197219,41.1413835758046,65.6645461389081,37.9399824210691,18.4397371017879,48.7197686361074
"MTND3P25",9.52768435864749,8.43925816939581,14.0709741726232,6.82919683579244,2.16938083550446,0
"REXO5",229.723056202945,194.102937896104,132.501673458868,220.051898042201,244.055343994252,242.713029205335
"PRKAB1",1185.66738685391,1224.74734183357,1146.78439506879,1328.65818438584,1379.72621138084,1224.1949137291
"DPF2",1109.44591198473,1168.83725646132,1332.05222167499,1299.82379774583,1373.21806887432,1335.80747460455
"ELOC",1182.49149206769,1238.46113635883,1396.54418663285,1172.34545681104,1077.09758482796,1178.1325870186
"TRIAP1",863.843381850706,909.330067752398,756.314861778495,1023.62072572045,872.091095872793,960.222349118917
"ZNF603P",4.23452638162111,18.9883308811406,0,0,0,3.54325590080781
"CNN2P9",5.29315797702638,12.6588872540937,11.7258118105193,18.9699912105346,9.76221375977007,37.204186958482
"DHODH",520.846744939396,463.104292045595,431.50987462711,362.706231945421,424.113953341122,426.07652207214
"ZFP28",24.3485266943214,18.9883308811406,14.0709741726232,47.8043778505471,44.4723071278414,15.0588375784332
"SLC16A5",273.126951614561,334.405604962309,283.764645814567,226.122295229572,300.459245717368,197.536516470036
"LRRC19",20.1140003127003,26.3726817793619,44.5580848799733,31.8695852336981,2.16938083550446,1.77162795040391
"LARGE1",16.9381055264844,16.8785163387916,19.9338800778828,29.5931862884339,26.0325700260535,39.8616288840879
"APLF",47.6384217932374,62.2395289992941,56.2838966904926,111.543548317943,67.2508059006383,63.7786062145406
"LINC01826",2.11726319081055,2.10981454234895,0,0,2.16938083550446,23.0311633552508
"YARS1",5819.2978799428,5779.83693876495,5709.29777054185,6061.29159159,6106.80705194505,6245.87433914897
"ARHGAP29",9.52768435864749,0,19.9338800778828,0,0,0
"ARMC5",725.162642852614,701.513335331026,575.737359896497,509.913363739169,626.951061460789,597.924433261318
"STAT5B",1463.02886485009,1303.86538717165,1340.26028994236,1392.39735485324,1540.26039320817,1614.83887679316
"KRTAP11-1",19.055368717295,2.10981454234895,4.69032472420772,0,4.33876167100892,1.77162795040391
"KRT17",0,0,32.832273069454,0,0,0
"RSL24D1",3410.9110003958,3245.94967340386,3154.24337702969,3407.76922106043,2649.8986905687,2834.60472064625
"TNIK",83.6318960370168,92.8318398633539,68.0097085010119,135.825137067428,73.7589484071516,131.100468329889
"CCDC127",294.299583522667,362.88810128402,352.946935496631,340.701042141201,419.775191670113,445.564429526583
"EEF1A1P9",9.52768435864749,5.27453635587238,4.69032472420772,18.2111915621132,15.1856658485312,13.2872096280293
"EOLA2",603.420009381008,481.037715655561,571.04703517229,434.792198545452,540.17582804061,444.67861555138
"PACSIN3",19.055368717295,11.6039799829192,7.03548708631158,0.758799648421383,8.67752334201784,3.54325590080781
"PHETA1",955.944330650965,900.890809583002,919.303645944713,695.819277602408,884.022690468067,871.640951598722
"VWA7",27.5244214805372,16.8785163387916,3.51774354315579,6.07039718737106,9.76221375977007,1.77162795040391
"TTC9",68.811053701343,84.3925816939581,103.18714393257,119.890344450578,86.7752334201784,145.27349193312
"RNU6-60P",10.5863159540528,12.6588872540937,3.51774354315579,5.31159753894968,1.08469041775223,0
"KIF6",9.52768435864749,21.0981454234895,3.51774354315579,6.07039718737106,0,3.54325590080781
"CYP2C8",2.11726319081055,7.38435089822133,10.5532306294674,0,0,3.54325590080781
"RPL18AP3",1166.61201813661,1281.71233447699,1287.49413679502,937.876365448829,1197.49822119846,1184.33328484501
"LGALS9",4933.22323458859,4623.65856955773,4380.76329241001,4171.88046702076,4621.86587004225,4088.03149555701
"CENATAC-DT",43.4038954116163,24.2628672370129,17.5887177157789,55.3923743347609,45.5569975455937,40.7474428592898
"ZNF283",83.6318960370168,107.600541659797,89.1161697599467,110.0259490211,117.146565117241,147.045119883524
"SLC5A12",14.8208423356739,0,11.7258118105193,0,0,0
"PKD1P6",279.478741186993,223.640341488989,281.419483452463,169.212321597968,265.749152349296,193.107446594026
"RPL23AP58",19.055368717295,10.5490727117448,17.5887177157789,12.1407943747421,3.25407125325669,2.65744192560586
"MRTO4",1596.41644587116,1375.59908161152,1720.17659260318,1300.58259739425,1362.3711646968,1533.34399107458
"LRCH3",1217.42633471607,1340.78714166276,1378.95546891707,1186.76265013104,1213.76857746475,1166.61700534097
"NUDT5",2083.38697975758,2104.54000599308,2146.99614250608,2323.44452346627,2412.35148908096,2149.87051781514
"ZNF594-DT",92.100948800259,81.2278598804347,60.9742214147003,33.3871845305408,60.7426633941249,64.6644201897426
"ARF4-AS1",3.17589478621583,8.43925816939581,5.86290590525965,2.27639894526415,0,0.885813975201953
"LINC01235",3342.09994669446,3349.33058597896,3583.4080892947,3310.64286606249,2853.82048910612,3281.05496414803
"DNAJB5",348.289794888336,383.986246707509,367.017909669254,378.64102456227,421.944572505617,495.170012137892
"MALT1-AS1",8.46905276324221,2.10981454234895,9.38064944841544,0,0,3.54325590080781
"RBPJ",5778.011247722,5722.87194612153,6153.70603816053,5902.70246506994,4669.59224842335,5583.28548569791
"EEF1A1P10",19.055368717295,18.9883308811406,14.0709741726232,6.07039718737106,2.16938083550446,13.2872096280293
"SFTPB",6.35178957243166,14.7687017964427,0,3.03519859368553,0,0
"EMB",360.993374033199,290.099499572981,309.561431797709,434.033398897031,309.136769059386,411.017684493706
"PA2G4P6",12.7035791448633,18.9883308811406,32.832273069454,1.51759929684277,10.8469041775223,15.0588375784332
"TMEM260",674.348326273161,628.724733619988,615.605120052263,579.722931393936,443.638380860662,623.613038542175
"KIF1C-AS1",11.644947549458,29.5374035928853,22.2790424399867,13.6583936715849,4.33876167100892,10.6297677024234
"AK1",44.4625270070216,35.8668472199322,34.004854250506,18.9699912105346,18.4397371017879,30.1176751568664
"MUC19",2.11726319081055,0,14.0709741726232,0,0,1.77162795040391
"ZNF217",2374.51066849404,2543.38143080166,2440.14143776907,2904.68505415705,2480.68698539935,2629.9816923746
"BTN2A2",147.149791761333,158.236090676171,222.790424399867,223.087096635886,231.039058981225,209.052098147661
"FAM131B",25.4071582897266,16.8785163387916,10.5532306294674,40.9751810147547,23.8631891905491,31.8893031072703
"FBXO5",558.957482373986,696.238798975154,641.401906035406,577.446532448672,562.954326813407,510.228849716325
"CDPF1P1",60.3420009381008,73.8435089822133,59.8016402336484,40.2163813663333,48.8110687988503,43.4048847848957
"WNT10B",214.902213867271,206.761825150197,159.471040623062,108.508349724258,200.667727284163,136.415352181101
"SGCE",101.628633158907,51.6904562875493,69.1822896820639,43.2515799600188,57.4885921408682,49.6055826113094
"CPNE7",5.29315797702638,5.27453635587238,4.69032472420772,1.51759929684277,1.08469041775223,0
"ZNF790-AS1",43.4038954116163,72.7886017110388,44.5580848799733,28.0755869915912,43.3876167100892,31.0034891320684
"PCBD1",733.631695615857,776.411751584414,697.685802725898,626.768509596062,753.8598403378,532.374199096374
"RPL26P19",173.615581646465,216.255990590768,148.917809993595,111.543548317943,184.397371017879,115.155816776254
"ZNF808",195.846845149976,235.244321471908,165.333946528322,240.539488549578,231.039058981225,265.744192560586
"EMSY-DT",99.511369968096,99.1612834904007,83.253263854687,34.9047838273836,61.8273538118771,94.782095346609
"IDNK",176.791476432681,165.620441574393,167.679108890426,109.267149372679,122.570017206002,164.761399387563
"MIR548AK",0,4.2196290846979,10.5532306294674,0.758799648421383,1.08469041775223,0
"LINC02739",2.11726319081055,14.7687017964427,3.51774354315579,0,0,3.54325590080781
"HNRNPA1P49",20.1140003127003,18.9883308811406,7.03548708631158,20.4875905073773,20.6091179372924,50.4913965865113
"MIR6774",10.5863159540528,9.49416544057028,28.1419483452463,25.0403883979056,29.2866412793102,37.204186958482
"CYP2R1",649.99979957884,738.435089822133,737.553562881664,677.608086040295,606.341943523497,582.865595682885
"PGAM5",905.130014071511,1031.69931120864,1165.54569396562,1076.73670110994,1207.26043495823,1209.13607615067
"SHISAL2A",596.009588213171,550.661595553076,534.69701855968,412.787008741232,544.514589711619,494.28419816269
"PATL1-DT",8.46905276324221,0,7.03548708631158,0,0,1.77162795040391
"NRSN2-AS1",164.087897287818,177.224421557312,189.958151330413,173.006319840075,101.96089926871,132.872096280293
"AGAP5",42.3452638162111,37.9766617622811,32.832273069454,19.728790858956,27.1172604438057,21.2595354048469
"FKBP2",8.46905276324221,13.7137945252682,16.416136534727,1.51759929684277,7.59283292426561,5.31488385121172
"LHFPL4",5.29315797702638,13.7137945252682,16.416136534727,4.5527978905283,6.50814250651338,0
"RPS18P9",41.2866322208058,24.2628672370129,37.5225977936618,12.8995940231635,22.7784987727968,23.0311633552508
"RTCA",1170.84654451824,1172.00197827484,1143.26665152563,1274.0246096995,1220.27671997126,1342.89398640616
