"","WT_V_1","WT_V_2","WT_V_3","C08_V_1","C08_V_2","C08_V_3"
"NEDD8",501.958142474668,545.500470275147,527.773444396056,779.870160268816,754.898071450334,877.342423035165
"GSR",5086.15876999637,5035.16926227793,4791.31638140151,3742.97058691518,3926.27951370951,4083.40551566303
"UBL3",3162.42389936047,2683.70999250548,2757.0254558003,2158.85932386914,2151.35831086248,2088.32210553441
"ZNF763",22.7764602170006,16.1841326259642,22.6469948155024,97.483770033602,65.7753011317315,94.3620531817591
"WWC1",75.3375222562329,92.3447567481489,112.250322129012,20.3091187570004,6.07156625831368,28.0839443993331
"GGA2",7200.86549937482,7690.31902073759,7485.3241124978,6028.76190301557,5798.34577668956,6161.61740121367
"TMEM219",1403.3803564475,1329.00289093212,1465.16209936816,1917.18081066084,1793.13590162197,2053.49801447923
"CLDN1",10.5122124078464,20.9441716336008,22.6469948155024,64.9891800224013,114.347831198241,77.5116865421593
"RPL24P8",54.31309744054,89.4887333435669,101.419150695511,189.890260377954,222.624096138168,212.314619658958
"PYCR1",304.854159827547,386.515167420087,439.154769031047,212.230291010654,153.81301187728,193.217537467411
"TIMMDC1",1585.59203818351,1550.82070868798,1524.24121627816,1173.86706415462,1145.50216740185,985.184769528604
"HIC1",295.217965120354,376.995089404814,379.091000172541,571.701693009562,573.763011410643,616.723419009354
"ARHGEF5",49.9330089372706,82.8246787328758,67.9409844465073,13.2009271920503,12.1431325166274,11.2335777597332
"PRKAG2-AS1",30.6606195228855,39.0323198626196,33.4781662490036,97.483770033602,106.252409520489,132.556217564852
"RNF149",3789.65257302864,3286.33093087227,3374.40222750986,4444.65063996954,4445.39842879533,4800.10777673401
"RPL7P18",0,0,0,28.4327662598006,17.2027710652221,30.3306599512797
"NLGN4Y",331.134690847163,257.042106412373,329.858402747535,132.009271920503,110.300120359365,178.613886379758
"ARL6IP4",22.7764602170006,21.8961794351281,16.7390831245018,83.2673869037017,90.0615661649862,75.2649709902126
"CSPG4",138.410796703312,176.121443282552,128.004753305014,56.8655325196012,41.4890360984768,13.4802933116799
"IRAG1",253.169115488969,267.514192229173,297.364888447032,127.947448169103,122.443252875992,150.529941980425
"MYEF2",447.645045034128,367.475011389541,295.395584550032,639.737240845513,627.395180025747,661.657730048287
"HMOX2",1314.02655098081,1705.04597253541,1660.12318517118,1010.37865816077,1052.4048181077,1098.64390490191
"C8orf44",130.526637397427,129.473061007714,123.081493562513,266.049455716705,271.196626204678,238.151848506344
"DONSON",471.297522951782,466.483822748381,428.323597597546,744.329202444065,643.58602338125,760.513214333939
"RAB32",2494.02239376157,2652.29373505508,2544.34063492427,1888.74804440104,2062.30867240721,1869.26733921961
"B3GALT2",1.75203540130774,1.90401560305462,7.87721558800084,27.4173103219506,66.7872288414505,48.3043843668529
"NRAV",213.748318959544,263.706161023064,231.393207897525,127.947448169103,97.1450601330188,88.7452643018925
"PEX19",1062.60947089314,1009.12826961895,1021.08407059461,702.695508992214,752.874216030896,687.494958895673
"CKB",3343.75956339582,3815.64726852145,3795.83326146791,4658.9118428559,4813.74011513303,4685.52528358473
"RRP7BP",169.947433926851,188.497544702407,225.485296206524,365.564137626007,360.246264659945,361.72120386341
"ADCY4",61.3212390457709,68.5445617099662,81.7261117255087,128.962904106953,216.552529879854,231.411701850504
"CAMKK1",715.706461434212,659.741406458424,858.616499092092,1169.80524040322,1089.84614336731,1114.37091376554
"BNC2",1808.97655185024,1371.84324200085,1482.88583444116,1039.82688035842,1096.92963733534,1008.77528282404
"BICRA",347.779027159587,352.242886565104,359.397961202538,560.531677693211,657.753011317315,526.854796931488
"UFM1",2073.53389744771,1564.14881790937,1775.32746314569,2556.91805150635,2572.32023810556,2526.431638164
"CRIP3",105.122124078464,134.23310001535,169.360135142018,323.930444174157,275.244337043553,277.469370665411
"MRPL19",1567.19566646977,1334.71493774129,1251.49262654363,949.45130188977,962.343251942718,943.620531817591
"SORD",577.295664730901,653.077351847733,610.484208070065,398.058727637208,388.580240532075,370.708066071196
"PABPC4",5798.36116062797,5792.96747229367,5484.51135314559,6795.43113609234,7261.59324494316,7246.7810128039
"ATXN2L",2916.26292547673,3498.62867061286,3230.64304302885,4365.44507681724,4246.0486699807,4120.47632227015
"MMS19",1653.04540113385,1843.08710375687,1757.60372807269,2593.47446526895,2322.37409380498,2233.23525863497
"TBC1D22A",1494.4861973155,1568.908856917,1620.73710723117,1124.10972319997,1029.13048078417,1198.62274696354
"ATP5PO",446.769027333474,432.211541893398,468.69432748605,688.479125862314,735.671444965674,659.41101449634
"SH3D19",36.7927434274626,51.4084212824746,52.1865532705056,114.746520977052,148.753373328685,144.913153100559
"TNFAIP8L1",1757.29150751166,1834.51903354312,1825.5447125192,1340.40183796203,1288.18397447222,1397.45707331081
"PHLPP1",710.450355230289,742.5660851913,664.640065237571,483.35702641661,450.307830824931,430.246028197783
"BICD1",1562.8155779665,1450.85988952762,1422.82206558265,1060.13599911542,1045.32132413967,1106.50740933372
"LINC00996",286.457788113816,308.450527694848,319.027231314034,156.380214428903,168.991927523064,152.776657532372
"COL26A1",931.206815795064,1200.48183772594,1154.99673559062,1583.09580710818,1537.11819106308,1680.54323285609
"TCP11L2",215.500354360852,192.305575908516,176.252698781519,84.2828428415517,83.9899999066725,38.194164383093
"DENND5B",1232.55690482,1231.89809517634,1155.98138753912,826.581133409917,887.460601423516,854.875267515699
"RNF7",1148.45920555722,1249.98624340536,1159.91999533312,1608.48220555443,1580.63108258099,1663.69286621649
"ZC3H12D",370.555487376587,410.31536245827,466.72502358905,641.768152721213,677.991565511694,677.384738911913
"ANKRD17",4557.92009650209,4576.30150194177,4413.21003317747,3587.60582842412,3637.88011643961,3616.08868085813
"PHACTR1",1096.77416121865,1158.59349445873,991.544512139606,781.901072144516,737.695300385112,636.943858976874
"RN7SL558P",6.13212390457709,1.90401560305462,9.84651948500105,52.8037087682011,44.5248192276336,55.0445310226928
"SLC25A11",1645.16124182797,1769.78250303927,1890.5317411202,1280.48993762888,1347.88770934564,1166.04537146031
"ZFPM2-AS1",42.9248673320396,24.75220283971,14.7697792275016,0,0,0
"MIR222HG",266.309380998777,142.801170229096,140.805228635515,361.502313874607,460.42710792212,414.519019334156
"PARP2",573.791593928285,522.652283038492,587.837213254563,829.627501223467,940.080842328901,797.584020941059
"KDM4C",1076.62575410361,932.015637695234,1184.53629404563,768.700144952466,583.882288507832,668.397876704127
"HOMER1",381.067699784434,383.659144015505,426.354293700546,251.833072586805,206.433252782665,189.847464139492
