"","WT_10_1","WT_10_2","WT_10_3","WT_100_1","WT_100_2","WT_100_3"
"ANKRD6",361.54694802451,299.103996096398,297.399122753085,401.562592767736,328.548398728509,308.056984187838
"MAN1B1-DT",97.1320158871818,139.581864844986,104.589905555366,65.3486294834287,140.957861389973,87.0799377795409
"PMS2P3",133.826333000117,186.808811597048,160.068029371691,225.405417638493,148.376696199972,164.796441389239
"TPM4",9646.28842221812,9788.57183014422,10021.5319070833,10094.9426328097,9077.47430680542,9512.31277314361
"PSPH",346.437523330948,307.499897741209,361.972020965528,328.637310590576,308.411561387084,306.18429735387
"AIFM1",2993.82457856714,3115.92899793054,3215.002749028,3094.11554380234,2761.92621640805,3150.79559815221
"AEBP2",1487.19908769485,1225.80164014243,1557.02537661554,1691.48771387542,1427.59578415259,1379.23385321789
"CCT8P1",117.637663685587,111.245696793748,120.051022028768,90.9198323247704,185.470870249965,124.533674458913
"DPY19L1P1",42.0905402177788,36.7320696960488,42.7454396617584,75.7665269373086,28.6155056957088,45.8808274322312
"MRPS9",324.852630911575,433.438422413376,441.096558211762,441.340019409823,387.899077208498,465.362678241202
"HMGCL",1068.452174759,1186.97059503518,1069.54546898357,1197.11112560948,1014.26070188124,1284.66316810247
"AIMP2",534.2260873795,517.397438861488,501.122069226146,453.652080037135,506.600434168475,500.943728086606
"TMEM44-AS2",10.7924462096869,19.9402664064265,6.36634207728316,17.0474685608944,12.7180025314262,22.4722420076235
"FBXO27",66.9131665000586,71.3651639808949,52.7496914974891,64.4015478967123,41.333508227135,54.30791818509
"INTS4P1",16.1886693145303,24.1382172288321,25.4653683091327,17.9945501476108,22.2565044299958,8.4270907528588
"ANPEP",17.267913935499,40.9300205184544,22.736935990297,74.8194453505923,4.23933417714205,33.7083630114352
"ANAPC15",328.090364774481,284.411168217978,287.394870917354,299.277781402369,240.582214552811,288.393772431168
"MLST8",1238.97282487205,930.895594868438,995.877796375009,986.859013358445,1183.83406896692,1180.72904881722
"PITX1-AS1",47.4867633226222,66.1177254528879,44.5643945409821,55.8778136162651,41.333508227135,32.7720195944509
"TRAPPC4",703.667492871584,561.475922496747,583.884516230827,554.042728229069,753.541649987,670.421886560766
"XKR8",434.935582250381,365.221721549286,341.054039854455,304.013189335951,382.59990948707,368.919306291818
"GRPEL1",1441.87081361417,1529.10358706123,1446.9786064225,1545.6371495211,1497.54479807543,1545.9029814411
"ZBTB26",214.769679572769,304.351434624405,296.489645313473,340.002289631172,308.411561387084,247.194662083858
"ADK",1466.69343989644,1542.74692723405,1594.31395163963,1380.84495343245,1555.83564301113,1485.9770027541
"PPP2R3C",810.512710347484,600.306967603998,816.710740771469,944.240341956209,742.943314544144,699.44853248728
"TIMM10",911.96170471854,843.788115303522,947.67549207558,1007.6948082662,728.105644924147,810.873399108413
"GP1BA",91.7357927823384,110.196209088147,126.417364106051,115.543953579396,57.2310113914177,109.552179787164
"SPTBN5",45.3282740806848,40.9300205184544,40.9264847825346,50.195324095967,51.9318436699901,50.5625445171528
"ST13P6",8.63395696774949,23.0887295232307,23.6464134299089,20.8357949077599,11.6581689871406,6.55440391889018
"TRIM16",107.924462096869,167.918032896223,95.4951311592475,95.6552402583522,111.282522149979,117.042927123039
"PTPMT1",70.1509003629646,132.235450905776,91.8572214007999,85.2373428044722,89.0260177199831,79.5891904436664
"SUGT1-DT",32.3773386290606,8.39590164481116,7.27581951689505,24.6241212546253,23.3163379742813,18.7268683396862
"ERVK3-1",215.848924193737,262.371926400349,255.563160530938,174.26301195581,248.00104936281,245.321975249889
"DTX2",1351.2142654528,1411.56096403388,1198.69126540846,1167.75159642127,1587.6306493397,1423.24199381615
"HMOX1",6090.1773961263,6005.16865145118,5688.78138477231,5673.9657860177,6350.52259735879,6294.10044896854
"MYBBP1A",2724.01342332496,2720.27213291882,2187.29324226657,2437.7880042079,2614.60935375236,2925.13683465899
"RAD51D",686.399578936085,627.593647949634,608.440407100348,762.400677306668,616.823122774168,657.313078722986
"AR",52.8829864274656,58.7713115136781,34.5601427052515,62.5073847232796,29.6753392399944,87.0799377795409
"CEP97",347.516767951917,334.786578086845,443.824990530598,412.927571808332,333.847566449936,289.330115848152
"PDHA1",2134.74586027606,2073.78770626836,2077.24647207354,2158.39893612658,2133.44492464674,2204.15240358107
